order_id,user_id,seller_id,product_category,price,payment_type,seller_rating,delivery_days,order_date,user_state,user_past_returns,return_flag,return_reason,seller_bin,delay_bin,rrs,risk_tier,month
ORD000040,U00781,S0042,Beauty,765.92,Prepaid,3.9,3,2024-06-27,Maharashtra,0,0,,3-4★,3-4 days,15,Low,2024-06
ORD000041,U00614,S0083,Fashion,576.84,COD,4.0,3,2024-05-15,Delhi,1,1,Size mismatch,3-4★,3-4 days,50,Medium,2024-05
ORD000042,U00952,S0093,Home & Kitchen,2289.3,Prepaid,1.0,5,2023-11-11,Tamil Nadu,1,0,,1-2★,5-6 days,40,Medium,2023-11
ORD000043,U00060,S0062,Home & Kitchen,811.41,Prepaid,5.0,4,2023-03-22,Delhi,1,0,,4-5★,3-4 days,10,Low,2023-03
ORD000044,U00750,S0125,Electronics,3799.51,Prepaid,4.4,7,2023-03-12,Andhra Pradesh,0,1,Not as described,4-5★,7+ days,10,Low,2023-03
ORD000045,U00785,S0033,Fashion,496.78,COD,4.6,6,2023-05-12,Gujarat,0,1,Late delivery,4-5★,5-6 days,50,Medium,2023-05
ORD000046,U00970,S0141,Home & Kitchen,996.05,Prepaid,5.0,6,2023-06-19,Andhra Pradesh,0,1,Wrong item,4-5★,5-6 days,10,Low,2023-06
ORD000047,U00894,S0156,Beauty,367.29,Prepaid,3.3,6,2024-03-09,Tamil Nadu,1,0,,3-4★,5-6 days,35,Medium,2024-03
ORD000048,U00952,S0139,Beauty,487.71,COD,5.0,6,2023-07-25,Uttar Pradesh,0,0,,4-5★,5-6 days,35,Medium,2023-07
ORD000049,U00409,S0172,Electronics,3011.74,Prepaid,5.0,5,2024-01-18,Gujarat,1,0,,4-5★,5-6 days,10,Low,2024-01
ORD000050,U00922,S0133,Fashion,460.42,Prepaid,5.0,6,2024-04-07,Delhi,0,0,,4-5★,5-6 days,25,Low,2024-04
ORD000051,U00254,S0058,Fashion,189.8,Prepaid,3.7,2,2023-03-07,West Bengal,2,0,,3-4★,1-2 days,40,Medium,2023-03
ORD000052,U00022,S0151,Fashion,1924.19,COD,3.7,6,2023-08-24,Tamil Nadu,2,1,Damaged in transit,3-4★,5-6 days,75,High,2023-08
ORD000053,U00008,S0019,Fashion,1329.57,Prepaid,5.0,4,2023-03-02,Tamil Nadu,0,0,,4-5★,3-4 days,15,Low,2023-03
ORD000054,U00070,S0009,Electronics,2606.68,COD,4.7,4,2023-12-05,Delhi,0,0,,4-5★,3-4 days,25,Low,2023-12
ORD000055,U00527,S0061,Fashion,1426.08,Prepaid,4.9,3,2023-10-13,Gujarat,3,1,Late delivery,4-5★,3-4 days,35,Medium,2023-10
ORD000056,U00220,S0139,Toys,1320.06,COD,4.6,7,2023-05-16,Telangana,1,0,,4-5★,7+ days,45,Medium,2023-05
ORD000057,U00591,S0122,Fashion,883.75,COD,4.2,4,2023-09-06,Gujarat,1,0,,4-5★,3-4 days,50,Medium,2023-09
ORD000058,U00827,S0105,Sports,922.58,COD,3.4,7,2023-07-14,Delhi,1,0,,3-4★,7+ days,60,High,2023-07
ORD000059,U00100,S0169,Fashion,605.08,COD,3.7,9,2024-03-17,Rajasthan,5,1,Wrong item,3-4★,7+ days,95,Very High,2024-03
ORD000060,U00421,S0120,Electronics,1410.16,COD,5.0,3,2023-02-25,Delhi,4,0,,4-5★,3-4 days,45,Medium,2023-02
ORD000061,U00063,S0104,Books,1301.12,COD,5.0,1,2023-12-14,Delhi,0,0,,4-5★,1-2 days,25,Low,2023-12
ORD000062,U00255,S0050,Beauty,1878.69,Prepaid,3.1,4,2023-07-14,Andhra Pradesh,5,0,,3-4★,3-4 days,35,Medium,2023-07
ORD000063,U00460,S0036,Sports,263.45,COD,2.3,6,2024-03-08,Karnataka,5,0,,2-3★,5-6 days,85,Very High,2024-03
ORD000064,U00286,S0119,Electronics,1937.38,Prepaid,5.0,3,2023-09-13,Delhi,1,1,Not as described,4-5★,3-4 days,10,Low,2023-09
ORD000065,U00454,S0141,Books,452.92,Prepaid,3.9,2,2023-04-11,Maharashtra,2,0,,3-4★,1-2 days,25,Low,2023-04
ORD000066,U00668,S0139,Beauty,1173.5,COD,5.0,4,2023-01-16,Tamil Nadu,3,1,Size mismatch,4-5★,3-4 days,45,Medium,2023-01
ORD000067,U00171,S0105,Fashion,1625.27,COD,1.6,4,2024-05-12,Tamil Nadu,1,1,Changed mind,1-2★,3-4 days,80,Very High,2024-05
ORD000068,U00886,S0103,Electronics,6730.99,Prepaid,3.0,6,2023-03-02,Karnataka,0,0,,2-3★,5-6 days,25,Low,2023-03
ORD000069,U00389,S0001,Sports,891.26,COD,4.4,4,2024-02-04,Uttar Pradesh,0,0,,4-5★,3-4 days,25,Low,2024-02
ORD000070,U00949,S0117,Fashion,1072.6,COD,1.7,3,2023-10-20,Andhra Pradesh,0,1,Changed mind,1-2★,3-4 days,70,High,2023-10
ORD000071,U00678,S0184,Fashion,1041.5,COD,3.7,3,2024-05-13,Tamil Nadu,0,1,Quality issue,3-4★,3-4 days,55,High,2024-05
ORD000072,U00304,S0056,Fashion,558.68,COD,1.7,4,2023-03-01,Andhra Pradesh,0,1,Damaged in transit,1-2★,3-4 days,70,High,2023-03
ORD000073,U00063,S0192,Electronics,3390.17,Prepaid,3.7,6,2023-11-18,Maharashtra,4,1,Size mismatch,3-4★,5-6 days,45,Medium,2023-11
ORD000074,U00599,S0123,Fashion,682.17,Prepaid,3.7,3,2024-05-29,Andhra Pradesh,0,0,,3-4★,3-4 days,30,Medium,2024-05
ORD000075,U00162,S0015,Home & Kitchen,656.38,Prepaid,1.0,5,2024-06-04,Delhi,3,0,,1-2★,5-6 days,50,Medium,2024-06
ORD000076,U00872,S0048,Electronics,784.86,COD,4.0,3,2023-03-12,Telangana,0,0,,3-4★,3-4 days,25,Low,2023-03
ORD000077,U00070,S0173,Fashion,351.86,COD,2.3,4,2023-08-29,Rajasthan,2,0,,2-3★,3-4 days,80,Very High,2023-08
ORD000078,U00123,S0146,Electronics,2302.93,COD,4.1,5,2023-09-10,Telangana,1,1,Damaged in transit,4-5★,5-6 days,35,Medium,2023-09
ORD000079,U00041,S0159,Fashion,1536.77,Prepaid,4.4,5,2023-03-25,Telangana,0,1,Changed mind,4-5★,5-6 days,15,Low,2023-03
ORD000080,U00579,S0134,Fashion,303.14,COD,2.7,3,2023-11-20,Uttar Pradesh,0,0,,2-3★,3-4 days,70,High,2023-11
ORD000081,U00210,S0172,Fashion,148.17,Prepaid,1.9,8,2023-11-18,Uttar Pradesh,3,1,Quality issue,1-2★,7+ days,85,Very High,2023-11
ORD000082,U00406,S0034,Fashion,1003.03,COD,4.3,4,2023-11-04,West Bengal,1,1,Changed mind,4-5★,3-4 days,50,Medium,2023-11
ORD000083,U00952,S0193,Beauty,677.03,COD,3.8,2,2023-03-16,Gujarat,1,1,Size mismatch,3-4★,1-2 days,50,Medium,2023-03
ORD000084,U00637,S0145,Home & Kitchen,544.01,COD,4.0,2,2023-04-13,Andhra Pradesh,0,1,Size mismatch,3-4★,1-2 days,25,Low,2023-04
ORD000085,U00219,S0130,Fashion,463.51,Prepaid,5.0,4,2023-09-29,West Bengal,1,1,Quality issue,4-5★,3-4 days,25,Low,2023-09
ORD000086,U00903,S0018,Books,1313.07,Prepaid,4.7,5,2023-09-08,Uttar Pradesh,4,1,Wrong item,4-5★,5-6 days,20,Low,2023-09
ORD000087,U00162,S0113,Fashion,891.43,Prepaid,2.2,3,2023-11-06,Andhra Pradesh,0,1,Damaged in transit,2-3★,3-4 days,45,Medium,2023-11
ORD000088,U00009,S0171,Beauty,1978.45,Prepaid,3.9,6,2023-11-03,Delhi,0,0,,3-4★,5-6 days,25,Low,2023-11
ORD000089,U00962,S0035,Electronics,2267.68,COD,4.0,3,2023-09-28,Delhi,3,1,Size mismatch,3-4★,3-4 days,45,Medium,2023-09
ORD000090,U00761,S0142,Electronics,764.15,Prepaid,3.7,7,2023-06-09,Uttar Pradesh,1,1,Wrong item,3-4★,7+ days,35,Medium,2023-06
ORD000091,U00620,S0054,Fashion,902.91,COD,5.0,3,2023-12-18,Uttar Pradesh,0,1,Quality issue,4-5★,3-4 days,40,Medium,2023-12
ORD000092,U00518,S0126,Beauty,1675.16,COD,4.2,6,2023-09-15,Maharashtra,0,0,,4-5★,5-6 days,35,Medium,2023-09
ORD000093,U00095,S0163,Fashion,1439.69,COD,3.2,5,2024-03-09,Uttar Pradesh,1,0,,3-4★,5-6 days,65,High,2024-03
ORD000094,U00046,S0001,Electronics,2667.12,COD,2.7,7,2023-12-08,Karnataka,1,1,Not as described,2-3★,7+ days,75,High,2023-12
ORD000095,U00653,S0068,Electronics,4131.4,Prepaid,1.3,7,2023-06-15,Gujarat,1,0,,1-2★,7+ days,50,Medium,2023-06
ORD000096,U00565,S0181,Books,3367.03,Prepaid,3.1,5,2024-03-13,Andhra Pradesh,1,0,,3-4★,5-6 days,25,Low,2024-03
ORD000097,U00010,S0029,Books,858.24,COD,5.0,2,2023-03-19,Karnataka,4,0,,4-5★,1-2 days,45,Medium,2023-03
ORD000098,U00559,S0010,Electronics,6290.22,Prepaid,3.6,3,2024-01-14,Andhra Pradesh,3,1,Damaged in transit,3-4★,3-4 days,35,Medium,2024-01
ORD000099,U00152,S0111,Fashion,1109.15,Prepaid,2.9,5,2023-05-11,Uttar Pradesh,1,1,Size mismatch,2-3★,5-6 days,55,High,2023-05
ORD000100,U00374,S0011,Electronics,717.29,COD,3.0,4,2024-01-02,Tamil Nadu,4,1,Quality issue,2-3★,3-4 days,60,High,2024-01
ORD000101,U00683,S0027,Home & Kitchen,539.91,Prepaid,1.9,2,2023-12-29,Andhra Pradesh,5,0,,1-2★,1-2 days,50,Medium,2023-12
ORD000102,U00906,S0105,Home & Kitchen,1162.51,COD,3.8,7,2023-06-08,Karnataka,0,1,Quality issue,3-4★,7+ days,50,Medium,2023-06
ORD000103,U01000,S0046,Fashion,3108.69,COD,5.0,4,2024-02-27,Karnataka,1,1,Size mismatch,4-5★,3-4 days,50,Medium,2024-02
ORD000104,U00755,S0086,Electronics,1677.44,COD,3.3,8,2024-02-26,Tamil Nadu,0,1,Not as described,3-4★,7+ days,60,High,2024-02
ORD000105,U00274,S0041,Home & Kitchen,749.24,COD,4.1,1,2023-04-21,Maharashtra,0,1,Changed mind,4-5★,1-2 days,25,Low,2023-04
ORD000106,U00880,S0121,Home & Kitchen,867.14,COD,2.2,3,2023-08-16,Gujarat,2,1,Quality issue,2-3★,3-4 days,65,High,2023-08
ORD000107,U00359,S0079,Fashion,1083.9,Prepaid,4.9,5,2023-08-22,Maharashtra,0,1,Quality issue,4-5★,5-6 days,15,Low,2023-08
ORD000108,U00676,S0050,Sports,561.04,COD,1.8,1,2024-02-13,West Bengal,0,0,,1-2★,1-2 days,55,High,2024-02
ORD000109,U00286,S0018,Electronics,1526.83,COD,3.8,5,2023-10-13,West Bengal,1,0,,3-4★,5-6 days,50,Medium,2023-10
ORD000110,U00657,S0131,Electronics,2056.14,COD,5.0,2,2024-02-14,Andhra Pradesh,3,1,Late delivery,4-5★,1-2 days,45,Medium,2024-02
ORD000111,U00340,S0008,Sports,759.11,COD,3.0,5,2023-04-29,Karnataka,0,1,Wrong item,2-3★,5-6 days,40,Medium,2023-04
ORD000112,U00595,S0068,Sports,1759.92,Prepaid,3.7,3,2023-02-09,Delhi,0,0,,3-4★,3-4 days,15,Low,2023-02
ORD000113,U00611,S0112,Fashion,250.2,Prepaid,4.3,3,2023-12-20,West Bengal,0,1,Late delivery,4-5★,3-4 days,15,Low,2023-12
ORD000114,U00447,S0156,Sports,1183.15,Prepaid,4.1,5,2024-06-07,Delhi,0,0,,4-5★,5-6 days,0,Low,2024-06
ORD000115,U00395,S0148,Electronics,4762.51,COD,3.2,2,2023-07-14,Maharashtra,1,1,Wrong item,3-4★,1-2 days,50,Medium,2023-07
ORD000116,U00726,S0112,Electronics,693.11,COD,4.2,3,2023-01-02,Andhra Pradesh,1,0,,4-5★,3-4 days,35,Medium,2023-01
ORD000117,U00948,S0138,Home & Kitchen,941.68,COD,1.0,4,2023-07-21,West Bengal,0,0,,1-2★,3-4 days,55,High,2023-07
ORD000118,U00442,S0018,Home & Kitchen,981.93,COD,4.7,2,2023-12-05,Telangana,2,0,,4-5★,1-2 days,35,Medium,2023-12
ORD000119,U00322,S0170,Home & Kitchen,412.0,Prepaid,5.0,3,2023-05-08,Uttar Pradesh,1,0,,4-5★,3-4 days,10,Low,2023-05
ORD000120,U00520,S0080,Fashion,523.1,Prepaid,2.4,4,2024-02-23,West Bengal,0,0,,2-3★,3-4 days,45,Medium,2024-02
ORD000121,U00413,S0179,Sports,1350.66,Prepaid,4.3,3,2023-10-30,Andhra Pradesh,1,0,,4-5★,3-4 days,10,Low,2023-10
ORD000122,U00131,S0050,Toys,1223.33,Prepaid,1.2,7,2024-03-06,Rajasthan,0,0,,1-2★,7+ days,40,Medium,2024-03
ORD000123,U00694,S0192,Books,1122.51,Prepaid,5.0,6,2023-06-28,Telangana,3,1,Damaged in transit,4-5★,5-6 days,30,Medium,2023-06
ORD000124,U00309,S0104,Beauty,807.03,COD,3.8,2,2023-01-01,Uttar Pradesh,0,0,,3-4★,1-2 days,40,Medium,2023-01
ORD000125,U00294,S0054,Fashion,568.72,COD,4.2,3,2024-03-16,Telangana,1,0,,4-5★,3-4 days,50,Medium,2024-03
ORD000126,U00622,S0168,Home & Kitchen,960.54,COD,1.3,1,2023-11-26,Gujarat,3,1,Changed mind,1-2★,1-2 days,75,High,2023-11
ORD000127,U00453,S0173,Books,1655.05,COD,4.1,6,2023-08-07,Andhra Pradesh,5,0,,4-5★,5-6 days,55,High,2023-08
ORD000128,U00485,S0189,Electronics,2256.56,COD,3.8,2,2023-06-23,Delhi,0,1,Late delivery,3-4★,1-2 days,40,Medium,2023-06
ORD000129,U00291,S0132,Fashion,208.47,Prepaid,3.4,6,2023-12-10,Tamil Nadu,0,1,Size mismatch,3-4★,5-6 days,40,Medium,2023-12
ORD000130,U00689,S0080,Sports,490.93,Prepaid,4.1,3,2023-08-19,Tamil Nadu,5,1,Not as described,4-5★,3-4 days,20,Low,2023-08
ORD000131,U00151,S0007,Books,1609.29,COD,2.7,3,2023-02-17,Tamil Nadu,0,0,,2-3★,3-4 days,55,High,2023-02
ORD000132,U00487,S0157,Fashion,1759.29,COD,5.0,7,2023-03-16,Rajasthan,5,1,Changed mind,4-5★,7+ days,70,High,2023-03
ORD000133,U00908,S0162,Electronics,6355.87,COD,4.8,3,2023-07-19,Rajasthan,1,0,,4-5★,3-4 days,35,Medium,2023-07
ORD000134,U00507,S0103,Home & Kitchen,1516.66,COD,4.8,2,2023-09-07,Karnataka,3,0,,4-5★,1-2 days,45,Medium,2023-09
ORD000135,U00672,S0177,Sports,1178.21,Prepaid,1.9,4,2023-01-06,Delhi,0,0,,1-2★,3-4 days,30,Medium,2023-01
ORD000136,U00798,S0109,Electronics,7773.9,COD,3.1,2,2023-08-13,Andhra Pradesh,3,1,Quality issue,3-4★,1-2 days,60,High,2023-08
ORD000137,U00476,S0013,Electronics,8467.07,COD,4.1,3,2023-09-13,Delhi,3,0,,4-5★,3-4 days,45,Medium,2023-09
ORD000138,U00468,S0035,Home & Kitchen,1065.89,Prepaid,5.0,6,2024-04-20,Andhra Pradesh,2,0,,4-5★,5-6 days,20,Low,2024-04
ORD000139,U00573,S0153,Home & Kitchen,648.98,Prepaid,4.6,6,2023-11-21,Gujarat,0,0,,4-5★,5-6 days,10,Low,2023-11
ORD000140,U00628,S0185,Beauty,1141.71,COD,5.0,4,2024-05-31,Andhra Pradesh,0,1,Changed mind,4-5★,3-4 days,25,Low,2024-05
ORD000141,U00457,S0041,Home & Kitchen,908.98,COD,4.0,5,2024-05-01,Gujarat,0,0,,3-4★,5-6 days,25,Low,2024-05
ORD000142,U00266,S0193,Electronics,3877.59,Prepaid,3.1,7,2023-09-11,Uttar Pradesh,0,0,,3-4★,7+ days,25,Low,2023-09
ORD000143,U00785,S0200,Home & Kitchen,817.96,Prepaid,2.1,3,2024-06-17,Tamil Nadu,1,1,Changed mind,2-3★,3-4 days,40,Medium,2024-06
ORD000144,U00282,S0113,Sports,733.38,Prepaid,5.0,2,2023-03-21,Uttar Pradesh,2,1,Late delivery,4-5★,1-2 days,10,Low,2023-03
ORD000145,U00241,S0070,Fashion,614.85,Prepaid,4.0,3,2023-12-10,Andhra Pradesh,5,1,Wrong item,3-4★,3-4 days,35,Medium,2023-12
ORD000146,U00083,S0036,Electronics,875.97,COD,5.0,3,2023-06-04,Tamil Nadu,0,0,,4-5★,3-4 days,25,Low,2023-06
ORD000147,U00393,S0178,Home & Kitchen,803.35,Prepaid,4.1,4,2023-06-06,Tamil Nadu,0,0,,4-5★,3-4 days,0,Low,2023-06
ORD000148,U00066,S0107,Electronics,1631.29,Prepaid,2.8,1,2024-02-22,Andhra Pradesh,2,1,Wrong item,2-3★,1-2 days,40,Medium,2024-02
ORD000149,U00478,S0107,Sports,1156.03,COD,5.0,5,2023-03-05,Tamil Nadu,3,0,,4-5★,5-6 days,45,Medium,2023-03
ORD000150,U00853,S0108,Home & Kitchen,884.96,COD,1.3,5,2024-02-03,Telangana,2,1,Not as described,1-2★,5-6 days,65,High,2024-02
ORD000151,U00969,S0179,Fashion,832.96,COD,3.0,2,2023-01-21,Telangana,1,1,Not as described,2-3★,1-2 days,65,High,2023-01
ORD000152,U00390,S0123,Beauty,614.8,COD,3.6,2,2023-01-07,West Bengal,0,0,,3-4★,1-2 days,40,Medium,2023-01
ORD000153,U00306,S0193,Home & Kitchen,1497.81,Prepaid,4.6,4,2024-02-04,Rajasthan,0,0,,4-5★,3-4 days,0,Low,2024-02
ORD000154,U00552,S0192,Toys,519.67,COD,4.1,5,2023-08-14,Tamil Nadu,1,1,Changed mind,4-5★,5-6 days,35,Medium,2023-08
ORD000155,U00280,S0112,Fashion,393.16,COD,1.0,4,2024-05-12,Rajasthan,0,1,Size mismatch,1-2★,3-4 days,70,High,2024-05
ORD000156,U00345,S0172,Home & Kitchen,914.91,Prepaid,2.7,2,2024-02-19,Karnataka,1,0,,2-3★,1-2 days,40,Medium,2024-02
ORD000157,U00861,S0120,Fashion,1972.76,Prepaid,4.2,3,2023-05-11,Andhra Pradesh,3,1,Damaged in transit,4-5★,3-4 days,35,Medium,2023-05
ORD000158,U00028,S0101,Sports,1073.8,COD,5.0,5,2023-01-28,Delhi,1,0,,4-5★,5-6 days,35,Medium,2023-01
ORD000159,U00659,S0110,Fashion,358.19,Prepaid,4.0,4,2023-05-19,Gujarat,2,1,Not as described,3-4★,3-4 days,25,Low,2023-05
ORD000160,U00187,S0013,Toys,689.08,Prepaid,3.8,5,2023-09-24,West Bengal,0,1,Changed mind,3-4★,5-6 days,15,Low,2023-09
ORD000161,U00217,S0117,Fashion,1280.02,Prepaid,3.9,3,2023-12-01,West Bengal,0,0,,3-4★,3-4 days,30,Medium,2023-12
ORD000162,U00780,S0098,Fashion,622.39,Prepaid,4.0,5,2023-10-12,Rajasthan,1,0,,3-4★,5-6 days,25,Low,2023-10
ORD000163,U00259,S0021,Sports,396.84,Prepaid,4.8,5,2024-04-26,Maharashtra,1,0,,4-5★,5-6 days,10,Low,2024-04
ORD000164,U00768,S0139,Fashion,471.7,Prepaid,4.7,3,2023-02-23,Tamil Nadu,5,1,Wrong item,4-5★,3-4 days,35,Medium,2023-02
ORD000165,U00666,S0018,Sports,393.37,Prepaid,4.0,4,2023-02-11,Maharashtra,1,1,Not as described,3-4★,3-4 days,10,Low,2023-02
ORD000166,U00973,S0064,Electronics,3514.68,Prepaid,3.1,3,2023-07-24,Maharashtra,2,1,Not as described,3-4★,3-4 days,25,Low,2023-07
ORD000167,U00637,S0040,Toys,412.42,COD,3.0,3,2023-09-02,Gujarat,3,1,Quality issue,2-3★,3-4 days,60,High,2023-09
ORD000168,U00686,S0030,Fashion,564.85,Prepaid,3.7,3,2023-08-12,Gujarat,0,0,,3-4★,3-4 days,30,Medium,2023-08
ORD000169,U00717,S0066,Home & Kitchen,1647.9,Prepaid,4.3,3,2024-01-13,Karnataka,0,0,,4-5★,3-4 days,0,Low,2024-01
ORD000170,U00621,S0156,Fashion,630.36,COD,4.6,2,2023-04-28,Karnataka,1,0,,4-5★,1-2 days,50,Medium,2023-04
ORD000171,U00988,S0080,Fashion,467.19,COD,5.0,1,2023-04-21,Maharashtra,4,1,Damaged in transit,4-5★,1-2 days,60,High,2023-04
ORD000172,U00952,S0080,Sports,902.03,COD,4.0,5,2024-01-20,Tamil Nadu,0,1,Changed mind,3-4★,5-6 days,25,Low,2024-01
ORD000173,U00078,S0152,Fashion,378.77,Prepaid,4.7,5,2023-09-06,Delhi,1,0,,4-5★,5-6 days,25,Low,2023-09
ORD000174,U00714,S0198,Fashion,979.03,Prepaid,5.0,5,2023-11-05,Telangana,1,0,,4-5★,5-6 days,25,Low,2023-11
ORD000175,U00825,S0031,Sports,717.33,Prepaid,4.1,3,2023-02-12,West Bengal,2,0,,4-5★,3-4 days,10,Low,2023-02
ORD000176,U00546,S0110,Home & Kitchen,928.67,COD,4.4,1,2024-01-15,Andhra Pradesh,5,1,Size mismatch,4-5★,1-2 days,45,Medium,2024-01
ORD000177,U00664,S0088,Sports,1064.54,Prepaid,4.9,3,2023-01-13,Rajasthan,2,0,,4-5★,3-4 days,10,Low,2023-01
ORD000178,U00843,S0126,Beauty,1840.13,Prepaid,4.3,2,2023-04-19,West Bengal,1,1,Changed mind,4-5★,1-2 days,10,Low,2023-04
